state,district,date,income_mean,income_median,poverty_absolute,poverty_relative,gini
Sarawak,Serian,2019-01-01,4878,3674,16.8,20.0,0.375
Sarawak,Serian,2022-01-01,4988,4074,14.6,22.7,0.345
Sarawak,Serian,2024-01-01,5113,4082,11.8,25.5,0.326
Sarawak,Sibu,2019-01-01,6140,4809,7.3,11.0,0.365
Sarawak,Sibu,2022-01-01,6645,5248,10.2,14.8,0.374
Sarawak,Sibu,2024-01-01,6842,5737,6.3,10.1,0.32
Sarawak,Simunjan,2019-01-01,3833,2823,21.1,35.6,0.377
Sarawak,Simunjan,2022-01-01,3917,3196,17.9,33.8,0.314
Sarawak,Simunjan,2024-01-01,4246,3365,14.9,35.5,0.311
Sarawak,Song,2019-01-01,3443,2662,6.0,40.0,0.353
Sarawak,Song,2022-01-01,3477,2926,15.8,41.2,0.322
Sarawak,Song,2024-01-01,4077,3052,11.3,40.8,0.344
Sarawak,Sri Aman,2019-01-01,4621,3557,7.4,20.7,0.356
Sarawak,Sri Aman,2022-01-01,4881,3704,8.9,28.4,0.395
Sarawak,Sri Aman,2024-01-01,5349,3967,6.2,25.2,0.383
Sarawak,Subis,2019-01-01,5528,4336,7.5,10.0,0.347
Sarawak,Subis,2022-01-01,6390,5194,4.7,14.0,0.341
Sarawak,Subis,2024-01-01,6475,5531,2.4,4.7,0.274
Sarawak,Tanjung Manis,2019-01-01,3849,2944,3.4,25.0,0.345
Sarawak,Tanjung Manis,2022-01-01,4017,3300,20.7,33.7,0.334
Sarawak,Tanjung Manis,2024-01-01,4457,3837,15.4,35.9,0.303
Sarawak,Tatau,2019-01-01,5345,4638,5.0,8.7,0.291
Sarawak,Tatau,2022-01-01,5617,4787,5.9,14.1,0.303
Sarawak,Tatau,2024-01-01,5807,4409,2.6,6.5,0.308
Sarawak,Tebedu,2019-01-01,3439,2614,38.6,40.3,0.37
Sarawak,Tebedu,2022-01-01,3218,2579,26.9,44.1,0.312
Sarawak,Tebedu,2024-01-01,3375,3024,25.8,46.2,0.249
Sarawak,Telang Usan,2019-01-01,4415,3375,13.6,23.7,0.358
Sarawak,Telang Usan,2022-01-01,4692,3870,6.0,20.5,0.311
Sarawak,Telang Usan,2024-01-01,4795,4281,1.3,10.0,0.229
Sarawak,Lubok antu,2024-01-01,4820,4169,13.0,23.2,0.311
Sarawak,Gedong,2024-01-01,5013,3329,16.7,35.7,0.392
Sarawak,Sebuyau,2024-01-01,3603,2717,21.4,53.6,0.31
Sarawak,Siburan,2024-01-01,6368,5217,4.2,16.7,0.335
Sarawak,Pantu,2024-01-01,2988,2525,10.9,60.0,0.222
Sarawak,Lingga,2024-01-01,3663,2999,6.3,45.8,0.27
Selangor,Gombak,2019-01-01,11536,8501,0.4,14.5,0.402
Selangor,Gombak,2022-01-01,13523,10180,2.4,13.8,0.392
Selangor,Gombak,2024-01-01,14168,10777,2.1,9.8,0.366
Selangor,Klang,2019-01-01,9980,7888,1.7,16.6,0.378
Selangor,Klang,2022-01-01,10278,8203,2.2,20.3,0.347
Selangor,Klang,2024-01-01,10912,8837,1.0,12.0,0.299
Selangor,Kuala Langat,2019-01-01,8375,6950,2.4,19.7,0.336
Selangor,Kuala Langat,2022-01-01,11048,10093,0.3,9.4,0.277
Selangor,Kuala Langat,2024-01-01,11714,10583,0.3,2.2,0.16
Selangor,Kuala Selangor,2019-01-01,7866,5855,3.5,30.4,0.4
Selangor,Kuala Selangor,2022-01-01,9410,7644,2.8,25.2,0.346
Selangor,Kuala Selangor,2024-01-01,10584,8046,1.8,21.0,0.35
Selangor,Petaling,2019-01-01,12145,8993,1.1,14.4,0.409
Selangor,Petaling,2022-01-01,12760,9618,1.6,14.9,0.392
Selangor,Petaling,2024-01-01,14422,10688,1.0,10.8,0.387
Selangor,Sabak Bernam,2019-01-01,6042,4454,4.7,46.2,0.391
Selangor,Sabak Bernam,2022-01-01,6930,5533,5.3,42.6,0.321
Selangor,Sabak Bernam,2024-01-01,8033,6941,2.7,25.7,0.268
Selangor,Sepang,2019-01-01,12254,8937,0.7,7.9,0.397
Selangor,Sepang,2022-01-01,13673,12608,0.0,3.4,0.229
Selangor,Sepang,2024-01-01,15906,11131,0.1,1.1,0.332
Selangor,Ulu Langat,2019-01-01,10252,8361,0.6,10.5,0.338
Selangor,Ulu Langat,2022-01-01,13386,11210,0.5,7.0,0.326
Selangor,Ulu Langat,2024-01-01,13822,11404,0.1,0.3,0.219
Selangor,Ulu Selangor,2019-01-01,7598,6249,1.5,26.6,0.339
Selangor,Ulu Selangor,2022-01-01,8779,7678,1.7,23.9,0.297
Selangor,Ulu Selangor,2024-01-01,9499,8485,0.4,16.7,0.299
Terengganu,Besut,2019-01-01,5819,4527,10.1,9.5,0.332
Terengganu,Besut,2022-01-01,6285,4743,12.7,11.3,0.33
Terengganu,Besut,2024-01-01,6747,5820,13.1,14.2,0.311
Terengganu,Dungun,2019-01-01,7564,6044,5.1,6.1,0.341
Terengganu,Dungun,2022-01-01,7902,6356,2.2,2.4,0.308
Terengganu,Dungun,2024-01-01,8055,7156,4.4,12.4,0.308
Terengganu,Hulu Terengganu,2019-01-01,5363,4368,7.9,19.7,0.339
Terengganu,Hulu Terengganu,2022-01-01,5821,5090,10.8,16.2,0.293
Terengganu,Kemaman,2019-01-01,7854,6592,4.6,5.6,0.346
Terengganu,Kemaman,2022-01-01,8381,6425,4.1,5.8,0.378
Terengganu,Kemaman,2024-01-01,8973,7709,3.5,6.7,0.319
Terengganu,Kuala Nerus,2019-01-01,7647,6730,5.4,7.9,0.316
Terengganu,Kuala Nerus,2022-01-01,7983,6800,1.9,3.5,0.273
Terengganu,Kuala Nerus,2024-01-01,8385,7304,1.6,2.4,0.282
Terengganu,Kuala Terengganu,2019-01-01,6691,5614,4.4,4.8,0.298
Terengganu,Kuala Terengganu,2022-01-01,7109,5872,5.9,5.0,0.3
Terengganu,Kuala Terengganu,2024-01-01,7279,6615,4.2,9.4,0.267
Terengganu,Marang,2019-01-01,5928,5060,8.2,12.0,0.31
Terengganu,Marang,2022-01-01,6357,5291,9.0,11.8,0.325
Terengganu,Marang,2024-01-01,6807,6246,7.3,13.9,0.281
Terengganu,Setiu,2019-01-01,5600,4231,6.5,11.1,0.329
Terengganu,Setiu,2022-01-01,6030,5211,7.5,6.0,0.275
Terengganu,Setiu,2024-01-01,6359,6125,4.7,7.7,0.214
Terengganu,Hulu,2024-01-01,6360,6134,6.6,14.8,0.255
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2019-01-01,13257,10549,0.2,10.6,0.35
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022-01-01,13325,10234,1.4,12.7,0.38
W.P. Labuan,W.P. Labuan,2019-01-01,8319,6726,3.1,12.9,0.333
W.P. Labuan,W.P. Labuan,2022-01-01,8250,6904,2.5,7.0,0.3
W.P. Putrajaya,W.P. Putrajaya,2019-01-01,12840,9983,0.4,12.1,0.361
W.P. Putrajaya,W.P. Putrajaya,2022-01-01,13473,10056,0.1,11.4,0.368
